label;prediction;url
0;0;parlamentnilisty.cz/www.parlamentnilisty.cz/profily/Ing-Lukas-Cernohorsky-120922/clanek/Tohle-budou-muset-rozhodnout-organy-cinne-v-trestnim-rizeni-101381.html
0;0;betty/vitalia.cz/www.vitalia.cz/clanky/dejiny-silenstvi-v-lepsim-pripade-vas-vyzenou-z-mesta-v-tom-horsim-upali/index4039.html
0;0;bad/forbes.cz/forbes.cz/o-vanocnich-svatcich-za-exotikou-pozor-na-vysoke-ceny-letenek/index.html
1;1;betty/drevostavitel.cz/www.drevostavitel.cz/clanek/mimoradna-stavba-labyrintu-z-recyklovaneho-dreva-a-kamene-pripomina-skalni-kanon.html
1;0;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2007/chip-05-2007/kratkodobe-testy-1-20/index.html
0;1;bad2/prozeny.cz/www.prozeny.cz/clanek/mezinarodni-den-prostitutek-kdo-si-je-zahral-ve-filmech-64453.html
0;0;parlamentnilisty.cz/www.parlamentnilisty.cz/politika/obce-volicum/Uherske-Hradiste-Oprava-budovy-Knihovny-B-Benese-Buchlovana-je-hotova-720334.html
0;0;parlamentnilisty.cz/www.parlamentnilisty.cz/arena/monitor/Tak-nic-Cyril-Svoboda-to-odpiskal-Nesehnal-podpisy-Babisovina-Ne-717239.html
0;0;betty/podnikatel.cz/www.podnikatel.cz/clanky/velky-prehled-zmen-ktere-pro-podnikatele-prinasi-od-roku-2023-danovy-balicek/index.html
1;0;betty/drevostavitel.cz/www.drevostavitel.cz/clanek/rozhledny-na-vysocine.html
0;0;forum24.cz/www.forum24.cz/zarko-jovanovic-z-tv-raptor-podporuje-ruskou-okupacni-armadu-opravdu-muze-rozestvavat-cechy/index.html
0;0;bad2/irozhlas.cz/www.irozhlas.cz/node/5984693.html
0;0;ceskatelevize.cz/edu.ceskatelevize.cz/video/12703-valka-na-ukrajine-zahajeni-ruske-invaze-na-ukrajinu3bdf.html
0;0;betty/root.cz/blog.root.cz/cybersecurity-help/top-10-bezpecnostnich-incidentu-v-srpnu-2016/index.html
1;0;tyden.cz/www.tyden.cz/rubriky/byznys/philip-morris-uvadi-na-trh-v-ceske-republice-novou-generaci-zarizeni-na-nahrivani-tabaku-iqos-iluma_5596213507.html
1;1;betty/drevostavitel.cz/www.drevostavitel.cz/clanek/zvyseni-spotreby-drivi.html
0;1;reflex.cz/www.reflex.cz/clanek/komentare/113172/finsko-a-svedsko-smeruji-do-nato-a-dalsi-prohry-putinovy-specialni-vojenske-operace.html
0;0;blisty.cz/www.blisty.cz/art/99331-o-podstate-jevu-jmenem-koronavirus.html
0;0;betty/podnikatel.cz/www.podnikatel.cz/zakony/zakon-c-121-2000-sb-autorsky-zakon/f6026434/index.html
0;0;betty/vitalia.cz/www.vitalia.cz/clanky/domaci-pedikura-pri-nemoci/index.html
0;1;bad2/prozeny.cz/www.prozeny.cz/clanek/zdravi-a-zivotni-styl-zaujalo-nas-mumie-po-20-letech-rachel-weisz-si-vzala-bonda-brendan-fraser-k-nepoznani-jak-se-herci-zmenili-84573.html
0;0;iprima.cz/cnn.iprima.cz/ms-v-hokeji-2025-prehled-107250.html
0;0;forum24.cz/www.forum24.cz/vlastimil-vodruska-bojuje-s-poklonkujicimi-medii-patolizaly-a-ideology/index.html
1;0;betty/root.cz/www.root.cz/clanky/digitalni-svet-tradice-a-svoboda/index.html
0;0;iprima.cz/zeny.iprima.cz/astroclanky/zeny-podle-horoskopu-jake-jsou-zeny-narozene-ve-znameni-raka.html
1;0;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/microsoft-predstavil-nejvykonnejsi-herni-konzoli-project-scorpio-je-xbox-one-x/index.html
0;0;bad/forbes.cz/forbes.cz/mullholand-drive-se-vraci-do-kin-proc-se-znovu-ztratit-v-deliricke-verzi-los-angeles/index.html
1;1;bad2/garaz.cz/www.garaz.cz/clanek/ferrari-308-gtbi-rudy-or-z-maranella-2429.html
0;0;betty/vlasta.cz/www.vlasta.cz/clanek/zeny-rozchod-muzi-nadobi-ponozky-terapie-manzelstvi-rozvod-mozek-stesti-20260525.html
1;0;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/deti-maji-prava-proto-ze-jsou-lidske-bytosti-113874.html/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/bydleni/jak-vydelat-na-zastropovani-cen-energii-reseni-ma-4-pismena-spot48f7.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/rocnik-2013/chip-12-2013/qubity-nevypocitatelna-logika-paralelnich-vypoctu/index.html
0;1;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/dvoujadrovy-alder-lake-s-ht-si-dobre-promyslete-vykon-intel-pentium-g7400-ma-k-core-i3-daleko/10/index.html
1;0;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/5-informaci-ktere-byste-meli-vedet-o-informacnim-systemu-evolio-111147.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/praha/1-kolinske-sanatorium-doprejte-si-peci-jakou-si-zaslouzite48f7.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/novinky/offline-kopie-wikipedie-a-dalsich-oblibenych-aplikaci-internet-do-kapsy-spomoci-kiwix-reader/index.html
0;0;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/nvidia-potvrdila-parametry-tri-gpu-ada-ad102-ad103-a-ad104-maji-rezervu-na-silnejsi-karty/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/hobby/poradna-jak-rekonstruovat-starou-eternitovou-strechu48f7.html
0;1;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/zasadni-zmeny-v-zakoniku-prace-od-ledna-sdilene-pracovni-misto-a-zmena-v-dovolene-112470b83a.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/novinky/ransomwarovy-utok-zaplatit-nebo-nezaplatit/index.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2012/chip-08-2012/co-ziskate/index.html
1;0;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2009/chip-03-2009/chytre-fotonastroje/index.html
1;0;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2006/chip-12-2006/grafika-na-maximum/index.html
1;0;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/doprejte-si-digitalni-detox-109654.html
1;1;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/konsepti-inside-of-life-uz-25-let-111750.html/index.html
1;1;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/zakladatel-pebblu-eric-migicovsky-spousti-kampan-za-navrat-skutecne-kompaktnich-smartphonu/feed/index.html
1;1;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/asus-rog-maximus-z690-hero-draha-deska-pro-narocne-a-sporive-uzivatele-recenze/35/index.html
1;0;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/trochu-exotiky-v-testech-biostar-b660gta-je-v-mnoha-ohledech-jina-nez-desky-tradicnejsich-vyrobcu/index.html
0;0;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/rocnik-2013/chip-02-2013/kapesni-konzole/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/plzen/necekejte-na-problem48f7.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/budejovice/v-hokeji-i-v-byznyse-musite-mit-tah-na-branku-rika-milan-kral.html
1;1;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/amd-ryzen-5-3500x-levne-sestijadro-bez-smt-v-ceskych-obchodech/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/usti/ustecky-kraj-predstavuje-novy-smer-komunikace-meni-logo-i-svou-image1fd3.html
1;1;vojta/https:/www.lidovky.cz/pr/sdeleni-komercni/www.lidovky.cz/pr/sdeleni-komercni/kam-cestujeme-jako-pred-pandemii-a-kdy-omezeni-zrusi-i-usa.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/brno/bruno-family-park-zabava-nejen-v-horkem-lete48f7.html
1;1;vojta/https:/www.lidovky.cz/pr/sdeleni-komercni/www.lidovky.cz/pr/sdeleni-komercni/kam-cestujeme-jako-pred-pandemii-a-kdy-omezeni-zrusi-i-usac564.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/novinky/pocitacove-hry-s-nejlepsim-pribehem-tyhle-tri-urcite-musite-vyzkouset/index.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/praha/lukas-zhubl-50-kilo-pomohlo-mu-ale-neco-mnohem-ucinnejsiho-nez-diety48f7.html
1;0;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/gigabyte-z790-aorus-elite-ax-deska-ktera-skvele-padne-do-herniho-pocitace-nastavenim-i-cenove/3/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/bydleni/vyvracime-myty-o-rekuperaci-5-nepravd-ktere-koluji-mezi-lidmi48f7.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/bydleni/zutulnete-si-podzimni-domov-hrejivym-textilem48f7.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/cestovani/rozmanitost-a-nadilka-aktivit-objev-neprobadanou-saudskou-arabii.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/jihlava/festival-krumlov-zacina-jiz-tento-vikend48f7.html
1;1;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/vypadek-internetu-firmy-prichazeji-o-miliony-i-dobrou-povest/index.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/jihlava/festival-krumlov-zacina-jiz-tento-vikend.html
1;1;vojta/https:/www.cnews.cz/komercni-clanek/www.cnews.cz/hp-predstavuje-nove-modely-kancelarskych-tiskaren-laserjet/index.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/06-2015/farstone-one-1-3/index.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/ekonomika/levny-tisk-i-v-kancelari-zkuste-hp-instant-ink-pro-male-firmy48f7.html
0;1;vojta/jablickar.cz/rubrika/komercni_sdeleni/jablickar.cz/ochrana-osobnich-udaju/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/technet/novinka-ssd-crucial-p3-plus-gen4-nvme48f7.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/01-2021/obsah-chip-dvd-01-2021/index.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/06-2015/microsoft-onenote-2013/index.html
1;1;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/slyseli-jste-uz-o-trvale-udrzitelne-vyrobe-nabytku-111525.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/jihlava/tvorime-vodikovou-budoucnost.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/bydleni/jak-si-poskladat-kuchyn-snu1fd3.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/xman/pokemon-legenda-9-generaci.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2008/chip-08-2008/ekologicka-pc/index.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/technet/siemens-energeticka-efektivita-je-dnes-podminka-preziti48f7.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/ekonomika/caste-vichrice-drahe-pozary-na-jake-skody-si-pojistit-nemovitost1fd3.html
1;1;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/matka-a-otec-jsou-jako-dve-nohy-ktere-potrebuje-atlet-k-behu-jen-o-jedne-dite-daleko-v-zivote-nedobehne-115297.html/index.html
0;1;vojta/https:/www.lidovky.cz/pr/sdeleni-komercni/www.idnes.cz/zpravy/zahranicni/kyjev-ukrajina-utoky-evakuace-klicko.html
1;0;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/novinky/lepsi-nez-microsoft-store-zajimava-profi-alternativa-stahovaci-platformy-je-hotova/index.html
0;0;vojta/https:/www.epravo.cz/top/aktualne/komercni_sdeleni/www.epravo.cz/top/aktualne/sdilene-pracovni-misto-je-zcela-novym-institutem-ceskeho-prava-ktery-prinasi-novela-zakoniku-prace-ucinna-od-1-1-2021-112304b83a.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/novinky/elektronicka-evidence-trzeb/neopokladna-aneb-jak-jednoduse-vyresit-eet/index.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/zpravy/ms-2022-stret-outsideru-s-velmocemi-vyrovnane-duely-a-co-domaci-katarane48f7.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/liberec/do-harrachova-za-sportem-i-zabavou.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/novinky/tipy-triky/chcete-mit-hezci-fotky-z-mobilu-nekolik-tipu-vam-pomuze-k-podstatne-lepsim-vysledkum/index.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2010/chip-06-2010/drm-zabava/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/hobby/stante-se-nezavisli-na-dodavatelich-vody-resenim-je-vrtana-studna48f7.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/budejovice/podnikani-neprinasi-jen-velke-starosti-ale-take-obrovskou-svobodu.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/rubriky/temata/34-externich-pevnych-disku/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/zpravy/jak-vyhodne-nakoupit-a-na-co-dat-pozor-black-friday-se-muze-prodrazit48f7.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/r-2012/chip-09-2012/it-auta/index.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/pardubice/techplastu-se-vyplatila-proziravost-nekolikrat.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/rubriky/internet-archiv/elegantni-stahovani-z-internetu/index.html
0;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/rocnik-2013/chip-02-2013/top10-02-13/index.html
1;1;vojta/https:/www.chip.cz/komercni-sdeleni/www.chip.cz/casopis-chip/earchiv/vydani/rocnik-2013/chip-06-2013/obsah-06-13/index.html
0;1;vojta/aktualne.cz/l~b:vs:6f717d9ae0a3f2869c1ab03b4f7/zpravy.aktualne.cz/dane/l_i_keyword_350/index.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/zpravy/crm-system-skvela-volba-pro-male-stredni-firmy-i-osvc.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/sport/firma-co-ma-styl-ten-zivotni-2.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/ona/neni-saten-jako-saten-vite-jak-spravne-vybrat-satenove-povleceni.html
0;1;vojta/https:/www.lidovky.cz/pr/sdeleni-komercni/www.idnes.cz/praha/zpravy/jindrisska-vez-prodej-arcibiskupstvi-zajemci-cena.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/budejovice/babi-leto-na-budejovicku.html
1;1;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/praha/covert-znacka-neviditelneho-pradla-ktera-si-razi-cestu-napric-spolecnosti48f7.html
1;0;vojta/https:/sdeleni.idnes.cz/sdeleni.idnes.cz/hradec/prace-v-ronalu-je-nejen-pro-fandy-rychlych-kol1fd3.html
